route_id,route_name,segment_no,segment_id,distance_km,base_speed_kmph,road_class
R_A,Guwahati-Shillong-A,1,R_A_S01,4.095824194223853,43.16635319256157,secondary
R_A,Guwahati-Shillong-A,2,R_A_S02,3.7894721162374556,32.82532043662948,hill
R_A,Guwahati-Shillong-A,3,R_A_S03,4.902489406547024,52.83419105971059,hill
R_A,Guwahati-Shillong-A,4,R_A_S04,1.5124545307021835,43.511578136867016,hill
R_A,Guwahati-Shillong-A,5,R_A_S05,2.483192096930325,57.80294966545806,hill
R_A,Guwahati-Shillong-A,6,R_A_S06,4.29104645308332,43.30242596481993,secondary
R_A,Guwahati-Shillong-A,7,R_A_S07,1.9089548871391075,46.63754361047505,hill
R_A,Guwahati-Shillong-A,8,R_A_S08,4.310524687970329,48.94993197366195,primary
R_A,Guwahati-Shillong-A,9,R_A_S09,4.032350960341495,40.63577904389605,primary
R_A,Guwahati-Shillong-A,10,R_A_S10,4.572484485288791,53.35150491221286,hill
R_A,Guwahati-Shillong-A,11,R_A_S11,1.7785548314078703,44.001630111811025,secondary
R_A,Guwahati-Shillong-A,12,R_A_S12,1.6171579682701913,50.49146859727364,primary
R_A,Guwahati-Shillong-A,13,R_A_S13,3.9790486236312685,59.0252919730263,secondary
R_A,Guwahati-Shillong-A,14,R_A_S14,2.4818388241394755,44.086674338274236,primary
R_A,Guwahati-Shillong-A,15,R_A_S15,1.7578854363371428,33.89764516006415,hill
R_A,Guwahati-Shillong-A,16,R_A_S16,1.9076373962035365,50.09441984047531,secondary
R_A,Guwahati-Shillong-A,17,R_A_S17,2.748607675489323,54.98034588173512,secondary
R_A,Guwahati-Shillong-A,18,R_A_S18,2.2494665655281643,54.96779404185603,hill
R_A,Guwahati-Shillong-A,19,R_A_S19,4.219057429987208,41.62435137090523,hill
R_A,Guwahati-Shillong-A,20,R_A_S20,3.729982015899902,34.19257450827929,primary
R_A,Guwahati-Shillong-A,21,R_A_S21,1.7996328099004333,30.220868092530164,hill
R_A,Guwahati-Shillong-A,22,R_A_S22,3.6594034263681285,51.154961358790054,hill
R_A,Guwahati-Shillong-A,23,R_A_S23,4.122916124087872,43.7674732661502,secondary
R_A,Guwahati-Shillong-A,24,R_A_S24,1.5591879925106298,33.435902206079206,secondary
R_A,Guwahati-Shillong-A,25,R_A_S25,3.6736118471618866,44.13288618429398,hill
R_B,Guwahati-Shillong-B,1,R_B_S01,4.059995429664102,49.041549600017724,secondary
R_B,Guwahati-Shillong-B,2,R_B_S02,3.2143176026319833,46.776214822362405,hill
R_B,Guwahati-Shillong-B,3,R_B_S03,1.1232713382717576,43.10152167697087,primary
R_B,Guwahati-Shillong-B,4,R_B_S04,1.8583386912781168,42.25585931173909,hill
R_B,Guwahati-Shillong-B,5,R_B_S05,1.935757943461363,31.749082250671982,hill
R_B,Guwahati-Shillong-B,6,R_B_S06,2.125535568087986,38.80781273300051,secondary
R_B,Guwahati-Shillong-B,7,R_B_S07,3.2281286093651134,53.5169462731924,secondary
R_B,Guwahati-Shillong-B,8,R_B_S08,3.65725416130955,42.19160584320211,secondary
R_B,Guwahati-Shillong-B,9,R_B_S09,1.6678916796308156,30.681362194015815,hill
R_B,Guwahati-Shillong-B,10,R_B_S10,1.360191443102567,51.670780517893505,hill
R_B,Guwahati-Shillong-B,11,R_B_S11,1.6450871161344072,45.03134325310091,secondary
R_B,Guwahati-Shillong-B,12,R_B_S12,1.6092484108526737,50.88961125233208,secondary
R_B,Guwahati-Shillong-B,13,R_B_S13,2.52408490438593,39.0453626744363,secondary
R_B,Guwahati-Shillong-B,14,R_B_S14,3.521130372475554,40.85437831660171,hill
R_B,Guwahati-Shillong-B,15,R_B_S15,1.4720236084820613,58.856929936485436,primary
R_B,Guwahati-Shillong-B,16,R_B_S16,4.634322762830428,50.99121401432249,secondary
R_B,Guwahati-Shillong-B,17,R_B_S17,4.876705509390895,53.36252711897384,primary
R_B,Guwahati-Shillong-B,18,R_B_S18,3.8675607566359824,43.48084506431366,hill
R_B,Guwahati-Shillong-B,19,R_B_S19,1.3855638486139972,57.07807189631525,primary
R_B,Guwahati-Shillong-B,20,R_B_S20,2.8231051593344443,36.07090094385691,hill
R_B,Guwahati-Shillong-B,21,R_B_S21,3.316878275767584,35.30318348817695,primary
R_B,Guwahati-Shillong-B,22,R_B_S22,4.4264571363695016,52.7555858950563,secondary
