route_id,route_name,segment_no,segment_id,distance_km,base_speed_kmph,road_class,timestamp,month,slope_mean,slope_max,elevation_change,historical_landslide_count_1km,historical_landslide_count_5km,days_since_nearest_landslide,historical_route_landslide_density,rain_1h,rain_6h,rain_24h,rain_72h,rain_change_3h,soil_moisture_surface,soil_moisture_rootzone,soil_moisture_delta_24h,active_incident_count_1km,active_incident_severity_score,synthetic_disruption_probability,disruption_next_6h
R_C,Guwahati-Shillong-C,2,R_C_S02,1.4136118708902066,47.629337165331364,primary,2024-03-10 00:00:00,3,7.41516403859249,8.53331532605976,69.62603181500958,0,1,663,0.15315441147426473,0.0,0.5568788352888379,24.696575630928663,98.24991937277836,-0.2669260933230861,0.16012073131619098,0.15508157579616183,-0.03240535681221919,0,0.0,0.020480908777473356,0
R_A,Guwahati-Shillong-A,15,R_A_S15,1.7578854363371428,33.89764516006415,hill,2025-06-22 09:00:00,6,24.13688651665661,35.15910629353351,518.229553239759,3,3,180,0.5455883550565002,16.191444002866266,23.94671704975082,85.16385928954469,230.11608032730405,4.100689501314126,0.2486975322513806,0.255401066457386,0.03789504038936535,0,0.0,0.15060099246174125,0
R_C,Guwahati-Shillong-C,22,R_C_S22,4.566709065019656,52.45824058370847,hill,2025-06-29 21:00:00,6,25.267439658807945,28.880266206096863,900.0,0,0,2102,0.20078366474321738,13.588214184591102,46.659191403623765,184.3574291960906,422.7511803040152,-1.073826850515358,0.28864061561730764,0.2562053563925764,0.13983114367647786,0,0.0,0.6932124782478128,1
R_C,Guwahati-Shillong-C,11,R_C_S11,4.305167696777431,56.884823155193004,secondary,2024-10-04 18:00:00,10,24.742136643702732,28.608676656003947,900.0,5,6,2408,0.8493242857471294,12.095474275850908,17.80651958215405,75.2308323592226,203.4628521572721,-7.660952871751652,0.18190941513166414,0.16099232166532776,0.04577149166048966,0,0.0,0.4619595372896059,0
R_A,Guwahati-Shillong-A,21,R_A_S21,1.7996328099004333,30.220868092530164,hill,2024-07-10 18:00:00,7,10.958760917569592,23.03747736176359,242.8186502881354,0,1,2035,0.281186207523356,12.371208665773356,24.894763926187863,90.11228621304399,192.95936331286057,0.0858727537614381,0.18046967475354408,0.1844337582682963,0.030753245645843436,0,0.0,0.06990540673567569,0
R_C,Guwahati-Shillong-C,25,R_C_S25,3.6466450526710443,41.2097318662113,hill,2024-01-04 21:00:00,1,8.185279864532946,18.239167415811487,352.7137169277288,1,4,1355,0.45919427415687053,6.8589734967267795,26.328078448415752,104.62083153932639,280.6545574211443,-2.24215354203399,0.24462020878649227,0.2396129049126535,0.12578392498053514,0,0.0,0.13561624935202324,1
R_C,Guwahati-Shillong-C,25,R_C_S25,3.6466450526710443,41.2097318662113,hill,2025-11-15 18:00:00,11,15.683349203157977,25.203815685375545,690.9551273040155,0,2,690,0.3955715170450887,7.251813024728751,14.722551677281231,78.77623001796101,219.92640970651945,-0.295235940979679,0.2383127295746745,0.23271392914316302,0.007176049006122506,0,0.0,0.07265164515191129,0
R_A,Guwahati-Shillong-A,24,R_A_S24,1.5591879925106298,33.435902206079206,secondary,2025-11-23 18:00:00,11,22.452027354033245,24.64544174416635,450.82580757243136,2,4,1091,0.6081531358814951,5.443171127601414,23.218138529122736,92.74305597345126,294.25169609205466,2.504841930600455,0.21558515323968377,0.19600984195912094,0.03514998459418743,0,0.0,0.15362716872389076,0
R_A,Guwahati-Shillong-A,3,R_A_S03,4.902489406547024,52.83419105971059,hill,2024-06-25 03:00:00,6,12.292756676224945,17.104095828907592,716.2464333611916,0,3,1255,0.38341876111050444,3.607536082183848,15.248542873570152,34.29427724515585,97.31149567524207,-0.45321319430945006,0.2624700503932703,0.21979563619502288,-0.004608723362935625,0,0.0,0.04117085017835821,0
R_A,Guwahati-Shillong-A,22,R_A_S22,3.6594034263681285,51.154961358790054,hill,2024-01-24 06:00:00,1,14.56562475732122,20.088049287928254,663.4895353483491,0,1,1567,0.1728314062182215,0.717654146835303,5.464611284777508,32.14338343636041,143.87063360103934,-0.9314922412491159,0.25788275736654925,0.2591535545624004,0.022055739164182245,0,0.0,0.07790389353496502,0
R_C,Guwahati-Shillong-C,3,R_C_S03,1.6823718741475444,57.75360355130391,hill,2024-03-30 15:00:00,3,12.407387704202453,14.087965018701475,259.768561499186,0,4,32,0.5560462005712311,2.0028343556712374,24.078905870119137,78.38114282415668,207.99476276442948,1.5651342605553051,0.22405373136691395,0.22955238918828083,-0.0049674449512063755,0,0.0,0.09788954911484583,0
R_A,Guwahati-Shillong-A,2,R_A_S02,3.7894721162374556,32.82532043662948,hill,2024-02-19 09:00:00,2,17.876191876330996,19.033024236787796,845.4277665929945,1,4,907,0.587691465494239,5.437748492713647,12.320131353258382,43.970142278863335,131.59941502558172,-3.861676414695779,0.2037410464373272,0.17937335693220408,0.0176175574147848,2,0.75,0.7059993015396151,1
R_B,Guwahati-Shillong-B,5,R_B_S05,1.935757943461363,31.749082250671982,hill,2025-08-30 12:00:00,8,17.288195421972294,20.71538472929466,423.3701242151338,2,3,1602,0.39369804129445046,1.2712099583911203,4.040717156653113,18.34697371996769,70.82960197393078,-7.5968119568490255,0.289558010034061,0.28360817191670296,0.00931247819392773,1,0.5,0.11027356693784032,0
R_B,Guwahati-Shillong-B,13,R_B_S13,2.52408490438593,39.0453626744363,secondary,2025-10-13 21:00:00,10,35.09051863367161,42.07114634789936,900.0,1,4,1177,0.7514923048114275,3.217356219859968,50.601921776535164,128.6813305136469,279.9068240202365,-2.640924691968496,0.20836444046268898,0.14690378430160836,0.08859330526514826,0,0.0,0.7125604499154216,1
R_A,Guwahati-Shillong-A,2,R_A_S02,3.7894721162374556,32.82532043662948,hill,2024-04-22 00:00:00,4,22.6945206899114,22.89259439910265,900.0,2,4,553,0.5801078330317527,32.354387811313295,41.05487770606205,71.20628856939312,125.117912473313,4.199145933588696,0.22255755342748118,0.24515293789591516,0.031168462076744476,1,0.75,0.7490483233860615,1
R_C,Guwahati-Shillong-C,14,R_C_S14,3.9079784571475304,53.05942475752971,secondary,2025-06-29 18:00:00,6,8.425393863891655,12.534816911407031,388.8496524341821,0,6,1574,0.7503272010909257,8.888055490671738,11.46977333068844,59.054402740588266,165.93164829899098,-0.1899307356075497,0.27897037699343985,0.2514022697754785,0.0013239587924384032,0,0.0,0.031589707562228383,0
R_C,Guwahati-Shillong-C,10,R_C_S10,2.7556458412201867,30.64836239640991,secondary,2024-05-11 00:00:00,5,8.811646722198313,10.125788125832964,310.91972729882156,1,1,1517,0.18727777353242725,2.6873929596831765,6.9281614696551035,63.5659526396164,184.13167221422003,-1.963057629732267,0.18650313890643883,0.16210686832865648,0.009287235902639818,0,0.0,0.08629739877358819,0
R_A,Guwahati-Shillong-A,21,R_A_S21,1.7996328099004333,30.220868092530164,hill,2024-09-25 09:00:00,9,24.347297701466402,31.80192418997443,513.9901663880042,1,2,537,0.43126088441493976,14.096865162117329,29.708709780831015,118.56288556239534,402.75139133381714,11.169500112389148,0.290274058667304,0.24268923871201908,0.052816582285995964,0,0.0,0.6440232612175448,1
R_B,Guwahati-Shillong-B,8,R_B_S08,3.65725416130955,42.19160584320211,secondary,2025-03-14 03:00:00,3,17.194528334965295,22.160425661411676,756.8920479653646,0,3,1820,0.4593450755165178,2.8831559134775517,36.23558491591746,128.93704293955875,384.0310380068938,-1.5374830765769003,0.17354818508063682,0.12651347526697157,0.05925658104749895,0,0.0,0.08506082026241425,0
R_C,Guwahati-Shillong-C,8,R_C_S08,3.2869122095043015,44.204682031708614,hill,2025-06-10 06:00:00,6,41.30507748955481,42.593748290797045,900.0,3,6,1923,1.0234944663009788,24.2767923142649,40.59520843631835,155.19128978672524,368.78251003555914,3.6640528287399916,0.25210316635467805,0.2841461267105473,0.07836184836177365,1,1.0,0.9919227409046462,1
R_A,Guwahati-Shillong-A,22,R_A_S22,3.6594034263681285,51.154961358790054,hill,2025-10-01 06:00:00,10,41.246895107012236,48.809440199526804,900.0,2,5,443,0.9003228806324549,0.3800153033731899,5.551809737427355,34.756540032779284,115.98364727298647,5.196445477030273,0.2438819672907664,0.2761724006690846,0.023006055171320348,1,0.5,0.7027834964174116,1
